name,height,weight,measurements,birthday,constellation,link,pic
大泽惠,162cm,47kg,null,null,双子座,https://baike.baidu.com/item/%E5%A4%A7%E6%B3%BD%E6%83%A0,"https://bkimg.cdn.bcebos.com/pic/10dfa9ec8a136327ab1aa0189a8fa0ec08fac722?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
美咲沙耶,null,null,null,1985年9月17日,null,https://baike.baidu.com/item/%E7%BE%8E%E5%92%B2%E6%B2%99%E8%80%B6,"https://bkimg.cdn.bcebos.com/pic/f9198618367adab4b31c25ac81d4b31c8601e415?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
石川铃华,158cm,null,90-56-83,1988年8月17日,null,https://baike.baidu.com/item/%E7%9F%B3%E5%B7%9D%E9%93%83%E5%8D%8E,"https://bkimg.cdn.bcebos.com/pic/8435e5dde71190efd32342d0ce1b9d16fcfa60e1?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
早见琉璃,167 厘米,null,null,null,null,https://baike.baidu.com/item/%E6%97%A9%E8%A7%81%E7%90%89%E7%92%83,"https://bkimg.cdn.bcebos.com/pic/4d086e061d950a7b822be1f20dd162d9f2d3c9ee?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
羽田未来,null,null,null,null,null,https://baike.baidu.com/item/%E7%BE%BD%E7%94%B0%E6%9C%AA%E6%9D%A5,"https://bkimg.cdn.bcebos.com/pic/a686c9177f3e67093724c57431c79f3df8dc5511?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
小泉梨菜,153cm,null,82-56-82 cm,1989年3月3日,null,https://baike.baidu.com/item/%E5%B0%8F%E6%B3%89%E6%A2%A8%E8%8F%9C,"https://bkimg.cdn.bcebos.com/pic/4034970a304e251f1ac7cf6dad86c9177f3e5376?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
二宫沙树,158cm,null,86.60.86(C cup),1985/04/10,null,https://baike.baidu.com/item/%E4%BA%8C%E5%AE%AB%E6%B2%99%E6%A0%91,"https://bkimg.cdn.bcebos.com/pic/42a98226cffc1e17ac436a4a4290f603728de9c9?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
星野明,162cm,null,null,1985年8月24日,null,https://baike.baidu.com/item/%E6%98%9F%E9%87%8E%E6%98%8E,"null"
椎名由奈,158cm,null,B88 W58 H85,1986年11月18日,天蝎座,https://baike.baidu.com/item/%E6%A4%8E%E5%90%8D%E7%94%B1%E5%A5%88,"https://bkimg.cdn.bcebos.com/pic/b21bb051f81986188a8e9c7d40ed2e738ad4e67a?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
青木玲,160cm,null,86/58/86,1984年7月11日,null,https://baike.baidu.com/item/%E9%9D%92%E6%9C%A8%E7%8E%B2,"https://bkimg.cdn.bcebos.com/pic/78310a55b319ebc4d307db6e8226cffc1f1716cd?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
星艾莉丝,162cm,48kg,100 - 63 - 88 cm,1983年9月12日,null,https://baike.baidu.com/item/%E6%98%9F%E8%89%BE%E8%8E%89%E4%B8%9D,"https://bkimg.cdn.bcebos.com/pic/38dbb6fd5266d016775df61e952bd40735fa35bb?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
鮎川奈绪,null,null,null,1985年10月25日,null,https://baike.baidu.com/item/%E9%AE%8E%E5%B7%9D%E5%A5%88%E7%BB%AA,"null"
秋川露依,155厘米,null,103 - 60 - 88 cm,1988年8月28日,null,https://baike.baidu.com/item/%E7%A7%8B%E5%B7%9D%E9%9C%B2%E4%BE%9D,"null"
内山遥,161CM,48公斤,84-59-86cm,1987年7月7日,null,https://baike.baidu.com/item/%E5%86%85%E5%B1%B1%E9%81%A5,"https://bkimg.cdn.bcebos.com/pic/bba1cd11728b471057c31e7bc0cec3fdfd03239d?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
香澄果穗,153cm,null,85-58-82(cm),1984年10月14日,天秤座,https://baike.baidu.com/item/%E9%A6%99%E6%BE%84%E6%9E%9C%E7%A9%97,"https://bkimg.cdn.bcebos.com/pic/ac4bd11373f08202d632f39647fbfbedaa641bf2?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
麻田有希,155CM,54公斤,null,1989年5月10日,null,https://baike.baidu.com/item/%E9%BA%BB%E7%94%B0%E6%9C%89%E5%B8%8C,"https://bkimg.cdn.bcebos.com/pic/a50f4bfbfbedab64f5d297d6f836afc379311e00?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
友崎玲,160cm,null,B86 W58 H87,1980年12月2日,射手座,https://baike.baidu.com/item/%E5%8F%8B%E5%B4%8E%E7%8E%B2,"https://bkimg.cdn.bcebos.com/pic/b21bb051f8198618e54eec3449ed2e738bd4e671?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
春菜花,null,null,null,null,null,https://baike.baidu.com/item/%E6%98%A5%E8%8F%9C%E8%8A%B1,"null"
神咲诗织,161cm,null,B91 W58 H87,1990年8月25日,处女座,https://baike.baidu.com/item/%E7%A5%9E%E5%92%B2%E8%AF%97%E7%BB%87,"https://bkimg.cdn.bcebos.com/pic/267f9e2f0708283894436422b999a9014c08f1be?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
姬咲莉莉亚,157厘米,null,90-57-85（G杯）,1985年10月10日,null,https://baike.baidu.com/item/%E5%A7%AC%E5%92%B2%E8%8E%89%E8%8E%89%E4%BA%9A,"https://bkimg.cdn.bcebos.com/pic/472309f79052982283c445d2d3ca7bcb0a46d428?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
AYA,null,null,null,null,null,https://baike.baidu.com/item/AYA,"null"
佐藤美沙,null,null,null,1988年5月21日,null,https://baike.baidu.com/item/%E4%BD%90%E8%97%A4%E7%BE%8E%E6%B2%99,"https://bkimg.cdn.bcebos.com/pic/11385343fbf2b211a0bc97bac08065380dd78eb7?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
天海翼,160cm,null,85-60-88cm（E-65）,1988年3月8日,null,https://baike.baidu.com/item/%E5%A4%A9%E6%B5%B7%E7%BF%BC,"https://bkimg.cdn.bcebos.com/pic/5d6034a85edf8db1e90a3bb30323dd54574e74c4?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
西田美沙,156CM,null,88-58-87（F罩杯）,1982年7月21日,巨蟹座,https://baike.baidu.com/item/%E8%A5%BF%E7%94%B0%E7%BE%8E%E6%B2%99,"https://bkimg.cdn.bcebos.com/pic/024f78f0f736afc3bc9e2399b919ebc4b64512bf?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
心有花,160 cm,null,null,1988年6月20日,null,https://baike.baidu.com/item/%E5%BF%83%E6%9C%89%E8%8A%B1,"https://bkimg.cdn.bcebos.com/pic/472309f7905298225e931ce6d5ca7bcb0a46d476?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
相户爱,155 厘米,44 公斤,90 - 58 - 85 cm,null,null,https://baike.baidu.com/item/%E7%9B%B8%E6%88%B7%E7%88%B1,"https://bkimg.cdn.bcebos.com/pic/95eef01f3a292df5345a251abb315c6034a87320?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg"
